team,attendance,season,opponent,arena,city,state,game_type,team_abb,opponent_abb
Miami Sol,10412,2002,Washington Mystics,AmericanAirlines Arena,Miami,FL,Regular season,MIA,WAS
Detroit Shock,5862,2002,Orlando Miracle,Palace of Auburn Hills,Detroit,MI,Regular season,DET,ORL
Cleveland Rockers,9061,2002,New York Liberty,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,NYL
Houston Comets,10460,2002,Phoenix Mercury,Compaq Center,Houston,TX,Regular season,HOU,PHO
Seattle Storm,5232,2002,Indiana Fever,KeyArena,Seattle,WA,Regular season,SEA,IND
Los Angeles Sparks,9112,2002,Minnesota Lynx,Staples Center,Los Angeles,CA,Regular season,LAS,MIN
Sacramento Monarchs,11208,2002,Utah Starzz,ARCO Arena,Sacramento,CA,Regular season,SAC,UTA
Charlotte Sting,5054,2002,Miami Sol,Spectrum Center,Charlotte,NC,Regular season,CHA,MIA
Washington Mystics,14998,2002,Cleveland Rockers,Verizon Center,Washington,DC,Regular season,WAS,CLE
Orlando Miracle,7911,2002,New York Liberty,Amway Arena,Orlando,FL,Regular season,ORL,NYL
Portland Fire,7541,2002,Houston Comets,Moda Center,Portland,OR,Regular season,POR,HOU
Phoenix Mercury,7623,2002,Minnesota Lynx,US Airways Center,Phoenix,AZ,Regular season,PHO,MIN
Seattle Storm,6138,2002,Sacramento Monarchs,KeyArena,Seattle,WA,Regular season,SEA,SAC
Cleveland Rockers,6652,2002,Miami Sol,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,MIA
New York Liberty,12444,2002,Indiana Fever,Madison Square Garden,New York,NY,Regular season,NYL,IND
Minnesota Lynx,6111,2002,Houston Comets,Target Center,Minneapolis,MN,Regular season,MIN,HOU
Utah Starzz,6491,2002,Portland Fire,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,POR
Sacramento Monarchs,6627,2002,Washington Mystics,ARCO Arena,Sacramento,CA,Regular season,SAC,WAS
Los Angeles Sparks,9698,2002,Phoenix Mercury,Staples Center,Los Angeles,CA,Regular season,LAS,PHO
Detroit Shock,4012,2002,Charlotte Sting,Palace of Auburn Hills,Detroit,MI,Regular season,DET,CHA
Phoenix Mercury,7836,2002,Seattle Storm,US Airways Center,Phoenix,AZ,Regular season,PHO,SEA
Portland Fire,6339,2002,Orlando Miracle,Moda Center,Portland,OR,Regular season,POR,ORL
Cleveland Rockers,8521,2002,Sacramento Monarchs,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,SAC
Seattle Storm,4718,2002,Orlando Miracle,KeyArena,Seattle,WA,Regular season,SEA,ORL
Los Angeles Sparks,10185,2002,Washington Mystics,Staples Center,Los Angeles,CA,Regular season,LAS,WAS
New York Liberty,12037,2002,Cleveland Rockers,Madison Square Garden,New York,NY,Regular season,NYL,CLE
Detroit Shock,3623,2002,Miami Sol,Palace of Auburn Hills,Detroit,MI,Regular season,DET,MIA
Indiana Fever,6556,2002,Sacramento Monarchs,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,SAC
Houston Comets,10485,2002,Utah Starzz,Compaq Center,Houston,TX,Regular season,HOU,UTA
Phoenix Mercury,8596,2002,Los Angeles Sparks,US Airways Center,Phoenix,AZ,Regular season,PHO,LAS
Portland Fire,6761,2002,Washington Mystics,Moda Center,Portland,OR,Regular season,POR,WAS
Minnesota Lynx,5565,2002,Orlando Miracle,Target Center,Minneapolis,MN,Regular season,MIN,ORL
Washington Mystics,18372,2002,Charlotte Sting,Verizon Center,Washington,DC,Regular season,WAS,CHA
New York Liberty,13146,2002,Portland Fire,Madison Square Garden,New York,NY,Regular season,NYL,POR
Detroit Shock,5962,2002,Sacramento Monarchs,Palace of Auburn Hills,Detroit,MI,Regular season,DET,SAC
Los Angeles Sparks,13141,2002,Houston Comets,Staples Center,Los Angeles,CA,Regular season,LAS,HOU
Miami Sol,7597,2002,Indiana Fever,AmericanAirlines Arena,Miami,FL,Regular season,MIA,IND
Cleveland Rockers,7129,2002,Utah Starzz,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,UTA
Charlotte Sting,6114,2002,Phoenix Mercury,Spectrum Center,Charlotte,NC,Regular season,CHA,PHO
Minnesota Lynx,5482,2002,Detroit Shock,Target Center,Minneapolis,MN,Regular season,MIN,DET
Cleveland Rockers,7342,2002,Portland Fire,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,POR
New York Liberty,14401,2002,Seattle Storm,Madison Square Garden,New York,NY,Regular season,NYL,SEA
Charlotte Sting,4540,2002,Portland Fire,Spectrum Center,Charlotte,NC,Regular season,CHA,POR
Miami Sol,5932,2002,Phoenix Mercury,AmericanAirlines Arena,Miami,FL,Regular season,MIA,PHO
Orlando Miracle,4715,2002,Indiana Fever,Amway Arena,Orlando,FL,Regular season,ORL,IND
Minnesota Lynx,5197,2002,Washington Mystics,Target Center,Minneapolis,MN,Regular season,MIN,WAS
Utah Starzz,6943,2002,Houston Comets,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,HOU
Miami Sol,7615,2002,Charlotte Sting,AmericanAirlines Arena,Miami,FL,Regular season,MIA,CHA
Cleveland Rockers,11114,2002,Seattle Storm,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,SEA
Utah Starzz,7165,2002,Minnesota Lynx,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,MIN
Los Angeles Sparks,12219,2002,Sacramento Monarchs,Staples Center,Los Angeles,CA,Regular season,LAS,SAC
Charlotte Sting,4756,2002,Cleveland Rockers,Spectrum Center,Charlotte,NC,Regular season,CHA,CLE
Orlando Miracle,8140,2002,Phoenix Mercury,Amway Arena,Orlando,FL,Regular season,ORL,PHO
Indiana Fever,7393,2002,Washington Mystics,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,WAS
Houston Comets,12423,2002,Detroit Shock,Compaq Center,Houston,TX,Regular season,HOU,DET
Miami Sol,7973,2002,Seattle Storm,AmericanAirlines Arena,Miami,FL,Regular season,MIA,SEA
Los Angeles Sparks,10896,2002,Utah Starzz,Staples Center,Los Angeles,CA,Regular season,LAS,UTA
Portland Fire,7342,2002,Sacramento Monarchs,Moda Center,Portland,OR,Regular season,POR,SAC
New York Liberty,15629,2002,Phoenix Mercury,Madison Square Garden,New York,NY,Regular season,NYL,PHO
Orlando Miracle,5605,2002,Washington Mystics,Amway Arena,Orlando,FL,Regular season,ORL,WAS
Indiana Fever,5670,2002,Cleveland Rockers,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,CLE
Utah Starzz,6952,2002,Detroit Shock,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,DET
Washington Mystics,15217,2002,Phoenix Mercury,Verizon Center,Washington,DC,Regular season,WAS,PHO
Charlotte Sting,4628,2002,Miami Sol,Spectrum Center,Charlotte,NC,Regular season,CHA,MIA
Houston Comets,10051,2002,Seattle Storm,Compaq Center,Houston,TX,Regular season,HOU,SEA
Detroit Shock,10893,2002,New York Liberty,Palace of Auburn Hills,Detroit,MI,Regular season,DET,NYL
Indiana Fever,9560,2002,Utah Starzz,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,UTA
Minnesota Lynx,12108,2002,Portland Fire,Target Center,Minneapolis,MN,Regular season,MIN,POR
Sacramento Monarchs,8551,2002,Cleveland Rockers,ARCO Arena,Sacramento,CA,Regular season,SAC,CLE
Phoenix Mercury,8495,2002,Houston Comets,US Airways Center,Phoenix,AZ,Regular season,PHO,HOU
Seattle Storm,6357,2002,Los Angeles Sparks,KeyArena,Seattle,WA,Regular season,SEA,LAS
Orlando Miracle,7728,2002,Charlotte Sting,Amway Arena,Orlando,FL,Regular season,ORL,CHA
Detroit Shock,8437,2002,Minnesota Lynx,Palace of Auburn Hills,Detroit,MI,Regular season,DET,MIN
Indiana Fever,7110,2002,Miami Sol,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,MIA
Portland Fire,10185,2002,Los Angeles Sparks,Moda Center,Portland,OR,Regular season,POR,LAS
Sacramento Monarchs,11081,2002,Houston Comets,ARCO Arena,Sacramento,CA,Regular season,SAC,HOU
Seattle Storm,8072,2002,Cleveland Rockers,KeyArena,Seattle,WA,Regular season,SEA,CLE
Washington Mystics,17841,2002,New York Liberty,Verizon Center,Washington,DC,Regular season,WAS,NYL
Utah Starzz,7886,2002,Phoenix Mercury,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,PHO
Charlotte Sting,5619,2002,Minnesota Lynx,Spectrum Center,Charlotte,NC,Regular season,CHA,MIN
Miami Sol,12536,2002,Orlando Miracle,AmericanAirlines Arena,Miami,FL,Regular season,MIA,ORL
Eastern Conference All Stars,19487,2002,Western Conference All Stars,MCI Center,Washington,DC,All star,EST,WST
Miami Sol,15519,2002,Sacramento Monarchs,AmericanAirlines Arena,Miami,FL,Regular season,MIA,SAC
Portland Fire,7231,2002,Phoenix Mercury,Moda Center,Portland,OR,Regular season,POR,PHO
Charlotte Sting,7623,2002,Orlando Miracle,Spectrum Center,Charlotte,NC,Regular season,CHA,ORL
Indiana Fever,7029,2002,Los Angeles Sparks,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,LAS
Minnesota Lynx,5087,2002,Cleveland Rockers,Target Center,Minneapolis,MN,Regular season,MIN,CLE
Utah Starzz,7382,2002,Houston Comets,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,HOU
Washington Mystics,19766,2002,Detroit Shock,Verizon Center,Washington,DC,Regular season,WAS,DET
New York Liberty,15619,2002,Los Angeles Sparks,Madison Square Garden,New York,NY,Regular season,NYL,LAS
Charlotte Sting,7246,2002,Sacramento Monarchs,Spectrum Center,Charlotte,NC,Regular season,CHA,SAC
Orlando Miracle,8427,2002,Utah Starzz,Amway Arena,Orlando,FL,Regular season,ORL,UTA
Indiana Fever,6771,2002,New York Liberty,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,NYL
Minnesota Lynx,5370,2002,Miami Sol,Target Center,Minneapolis,MN,Regular season,MIN,MIA
Portland Fire,9235,2002,Houston Comets,Moda Center,Portland,OR,Regular season,POR,HOU
Seattle Storm,6759,2002,Phoenix Mercury,KeyArena,Seattle,WA,Regular season,SEA,PHO
Cleveland Rockers,10420,2002,Los Angeles Sparks,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,LAS
Washington Mystics,16477,2002,Utah Starzz,Verizon Center,Washington,DC,Regular season,WAS,UTA
Detroit Shock,5984,2002,Miami Sol,Palace of Auburn Hills,Detroit,MI,Regular season,DET,MIA
Seattle Storm,9686,2002,Houston Comets,KeyArena,Seattle,WA,Regular season,SEA,HOU
Phoenix Mercury,8694,2002,Portland Fire,US Airways Center,Phoenix,AZ,Regular season,PHO,POR
Sacramento Monarchs,7564,2002,Orlando Miracle,ARCO Arena,Sacramento,CA,Regular season,SAC,ORL
New York Liberty,13719,2002,Cleveland Rockers,Madison Square Garden,New York,NY,Regular season,NYL,CLE
Indiana Fever,6115,2002,Charlotte Sting,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,CHA
Los Angeles Sparks,12231,2002,Orlando Miracle,Staples Center,Los Angeles,CA,Regular season,LAS,ORL
Miami Sol,9921,2002,New York Liberty,AmericanAirlines Arena,Miami,FL,Regular season,MIA,NYL
Detroit Shock,3753,2002,Utah Starzz,Palace of Auburn Hills,Detroit,MI,Regular season,DET,UTA
Houston Comets,10205,2002,Seattle Storm,Compaq Center,Houston,TX,Regular season,HOU,SEA
Cleveland Rockers,15170,2002,Charlotte Sting,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,CHA
Los Angeles Sparks,18542,2002,Portland Fire,Staples Center,Los Angeles,CA,Regular season,LAS,POR
Minnesota Lynx,7326,2002,Utah Starzz,Target Center,Minneapolis,MN,Regular season,MIN,UTA
Charlotte Sting,9453,2002,Cleveland Rockers,Spectrum Center,Charlotte,NC,Regular season,CHA,CLE
Orlando Miracle,6449,2002,Seattle Storm,Amway Arena,Orlando,FL,Regular season,ORL,SEA
Detroit Shock,5122,2002,Washington Mystics,Palace of Auburn Hills,Detroit,MI,Regular season,DET,WAS
Houston Comets,12002,2002,Miami Sol,Compaq Center,Houston,TX,Regular season,HOU,MIA
Sacramento Monarchs,7398,2002,Portland Fire,ARCO Arena,Sacramento,CA,Regular season,SAC,POR
Indiana Fever,8973,2002,Minnesota Lynx,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,MIN
Utah Starzz,8230,2002,Phoenix Mercury,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,PHO
Washington Mystics,18311,2002,Seattle Storm,Verizon Center,Washington,DC,Regular season,WAS,SEA
